"Time(s)"," X"," Y"," Z"
"1418209713.178","672","208","-792"
"1418209713.261","760","64","-744"
"1418209713.344","728","216","-752"
"1418209713.427","712","-72","-544"
"1418209713.510","688","240","-872"
"1418209714.186","712","16","-616"
"1418209714.258","680","144","-752"
"1418209714.341","680","120","-600"
"1418209714.424","704","56","-768"
"1418209714.507","720","200","-760"
"1418209714.590","728","8","-704"
"1418209714.680","712","192","-800"
"1418209714.756","712","0","-600"
"1418209715.088","744","-104","-496"
"1418209715.171","704","248","-888"
"1418209715.254","776","32","-464"
"1418209715.337","704","256","-864"
"1418209715.420","728","40","-496"
"1418209715.503","688","240","-904"
"1418209715.590","760","-8","-552"
"1418209715.669","680","248","-848"
"1418209715.753","760","-72","-456"
"1418209715.836","672","232","-960"
"1418209715.921","760","-48","-520"
"1418209716.002","696","160","-968"
"1418209716.085","760","-152","-544"
"1418209716.168","720","192","-920"
"1418209716.251","752","-80","-504"
"1418209716.334","680","176","-968"
"1418209716.417","736","-48","-512"
"1418209716.502","672","24","-896"
"1418209716.583","728","-8","-592"
"1418209716.666","688","-136","-760"
"1418209716.750","736","88","-736"
"1418209716.833","696","-144","-576"
"1418209716.916","720","136","-872"
"1418209716.999","752","-80","-552"
"1418209717.082","720","96","-792"
"1418209717.165","736","-152","-504"
"1418209717.249","736","104","-832"
"1418209717.332","768","-176","-576"
"1418209717.415","736","120","-864"
"1418209717.498","768","-216","-464"
"1418209717.581","720","136","-888"
"1418209717.668","752","-264","-432"
"1418209717.747","720","152","-912"
"1418209717.830","752","-224","-480"
"1418209717.913","712","136","-832"
"1418209717.996","728","-208","-432"
"1418209718.079","712","80","-872"
"1418209718.162","760","-120","-544"
"1418209718.245","656","-56","-896"
"1418209718.329","744","8","-648"
"1418209718.412","696","-120","-840"
"1418209718.495","704","96","-792"
"1418209718.578","680","-232","-544"
"1418209718.827","640","112","-1088"
"1418209718.910","712","-136","-608"
"1418209718.993","656","0","-936"
"1418209719.077","656","32","-680"
"1418209719.159","624","-88","-816"
"1418209719.933","640","-96","-816"
"1418209719.993","728","112","-784"
"1418209720.073","648","-208","-632"
"1418209720.156","672","176","-912"
"1418209720.242","688","-160","-504"
"1418209720.322","664","152","-1000"
"1418209720.408","696","-80","-560"
"1418209720.488","624","-32","-792"
"1418209720.654","656","-264","-536"
"1418209720.738","680","248","-952"
"1418209720.903","640","112","-984"
"1418209720.986","704","-32","-608"
"1418209721.069","648","-128","-784"
"1418209721.235","680","-216","-656"
"1418209721.318","704","128","-880"
"1418209721.404","680","-184","-560"
"1418209721.490","680","72","-824"
"1418209721.571","664","-8","-736"
"1418209721.651","688","0","-848"
"1418209721.734","696","-32","-776"
"1418209721.817","712","-56","-664"
"1418209721.900","704","-128","-664"
"1418209721.983","696","-72","-712"
"1418209722.066","712","40","-808"
"1418209722.149","712","96","-896"
"1418209722.481","744","120","-960"
"1418209722.566","688","-32","-768"
"1418209722.647","680","-160","-552"
"1418209722.730","664","-96","-680"
"1418209722.814","720","40","-800"
"1418209722.897","720","160","-968"
"1418209722.983","672","-80","-656"
"1418209723.063","648","-152","-544"
"1418209723.146","688","-104","-680"
"1418209723.229","712","112","-920"
"1418209723.312","712","120","-776"
"1418209723.395","672","-8","-768"
"1418209723.478","672","-128","-576"
"1418209723.561","696","-40","-712"
"1418209723.644","720","120","-1032"
"1418209723.727","712","104","-776"
"1418209723.810","648","0","-728"
"1418209724.059","712","152","-952"
"1418209724.142","680","56","-824"
"1418209724.226","640","-40","-744"
"1418209724.309","664","-88","-616"
"1418209724.392","704","8","-880"
"1418209724.475","736","120","-1000"
"1418209724.558","680","24","-712"
"1418209724.641","632","-80","-592"
"1418209724.724","640","-128","-624"
"1418209724.807","688","176","-920"
"1418209725.480","648","168","-824"
"1418209725.554","752","192","-776"
"1418209725.638","720","96","-720"
"1418209725.726","664","40","-624"
"1418209725.804","640","-32","-616"
"1418209725.887","696","184","-912"
"1418209725.970","688","200","-808"
"1418209726.053","656","-8","-496"
"1418209726.136","616","120","-888"
"1418209726.219","704","240","-824"
"1418209726.302","680","152","-728"
"1418209726.385","664","8","-568"
"1418209726.469","672","152","-816"
"1418209726.551","680","256","-848"
"1418209726.717","688","112","-672"
"1418209726.800","672","-32","-536"
"1418209726.966","688","216","-928"
"1418209727.049","680","120","-720"
"1418209727.132","656","56","-624"
"1418209727.216","680","88","-664"
"1418209727.299","688","184","-928"
"1418209727.382","640","80","-728"
"1418209727.465","648","152","-728"
"1418209727.549","664","168","-752"
"1418209727.631","696","80","-792"
"1418209727.714","656","128","-800"
"1418209727.797","640","184","-864"
"1418209727.880","608","200","-720"
"1418209727.963","560","128","-752"
"1418209728.046","680","112","-824"
"1418209728.129","664","184","-976"
"1418209728.212","704","200","-912"
"1418209728.296","576","40","-632"
"1418209728.379","520","80","-560"
"1418209728.466","896","264","-96"
"1418209728.545","592","192","-936"
"1418209728.628","712","288","-560"
"1418209728.797","872","176","-728"
"1418209728.879","600","264","-720"
"1418209728.960","912","376","-80"
"1418209729.043","768","184","-624"
"1418209729.126","632","304","-624"
"1418209729.213","960","352","-136"
"1418209729.292","760","360","-672"
"1418209729.375","688","304","-528"
"1418209729.458","928","392","-80"
"1418209729.541","680","336","-752"
"1418209729.625","704","304","-464"
"1418209729.708","952","344","-128"
"1418209729.791","952","440","-544"
"1418209729.875","592","120","-728"
"1418209729.958","680","216","-480"
"1418209730.041","1024","408","-72"
"1418209730.373","848","360","-624"
"1418209731.147","784","200","-560"
"1418209731.287","792","304","-488"
"1418209731.370","800","384","-464"
"1418209731.453","808","376","-616"
"1418209731.536","768","408","-576"
"1418209731.619","816","376","-344"
"1418209731.702","816","136","-392"
"1418209731.785","744","224","-480"
"1418209731.868","808","432","-472"
"1418209731.951","712","376","-720"
"1418209732.034","688","432","-536"
"1418209732.117","752","312","-456"
"1418209732.200","616","344","-344"
"1418209732.285","312","104","-192"
"1418209732.366","328","448","-136"
"1418209732.450","112","832","-112"
"1418209732.533","96","1184","120"
"1418209732.616","-16","1344","-184"
"1418209732.699","-112","1304","-72"
"1418209732.782","-200","1312","-24"
"1418209732.865","-264","1360","-40"
"1418209732.948","-264","1448","-128"
"1418209733.031","-208","1376","-224"
"1418209733.114","-160","1272","-400"
"1418209733.197","-96","1120","-464"
"1418209733.280","80","936","-432"
"1418209733.365","248","608","-448"
"1418209733.446","344","296","-560"
"1418209733.530","464","64","-456"
"1418209733.613","632","0","-568"
