2704506142,-304,656,-560
2704506183,-80,1168,-576
2704506224,-64,1248,400
2704506265,-152,1064,648
2704506305,-336,1240,-296
2704506346,-360,1392,344
2704506387,-264,1184,136
2704506428,-152,1256,-480
2704506509,-264,856,424
2704506550,-408,832,880
2704506591,-768,816,1296
2704506632,-704,784,968
2704506672,-640,776,696
2704506713,-472,720,824
2704506754,-232,824,-488
2704506795,-152,688,-416
2704506836,-248,704,304
2704506876,-560,896,1128
2704506916,-784,752,1592
2704506956,-720,960,1088
2704506996,-568,800,336
2704507162,-144,888,80
2704507203,-576,840,576
2704507244,-968,1376,2064
2704507285,-800,1296,968
2704507326,-616,992,96
2704507366,-280,1016,-512
2704507407,144,128,-1664
2704507489,-176,328,488
2704507530,-424,1368,1304
2704507570,-488,1720,48
2704507611,-208,1880,104
2704507652,-104,640,-944
2704507693,-232,216,-200
2704507733,-480,512,544
2704507774,-584,448,680
2704507815,-768,2176,1536
2704507856,-584,1784,752
2704507896,-408,760,-696
2704507937,-640,152,80
2704507978,-472,96,144
2704508019,-464,176,296
2704508059,-552,584,1040
2704508100,-624,1120,1264
2704508141,-408,984,488
2704508182,-472,576,656
2704508223,-520,552,672
2704508263,-568,496,984
2704508304,-560,200,1136
2704508345,-416,496,1176
2704508386,-424,440,1016
2704508426,-256,888,376
2704508467,-232,504,256
2704508508,-208,536,480
2704508549,-256,464,712
2704508589,-616,656,1784
2704508630,-544,616,1024
2704508671,-584,232,632
2704508712,-360,856,976
2704508753,-152,520,-624
2704508793,-88,640,432
2704508834,-136,744,320
2704508875,-192,456,1744
2704508916,-408,288,1448
2704508956,-640,632,1088
2704508998,-568,640,728
2704509039,-392,680,816
2704509080,-336,680,368
2704509121,-200,800,296
2704509161,-232,792,160
2704509202,-192,776,304
2704509243,-448,1136,328
2704509284,-712,1024,1096
2704509325,-712,528,1720
2704509365,-656,904,712
2704509406,-600,632,792
2704509447,-560,672,808
2704509488,-480,720,400
2704509528,-240,760,-112
2704509569,72,648,-416
2704509610,-56,728,-160
2704510262,-328,1824,976
2704510303,-384,1488,-88
2704510344,-304,752,-760
2704510385,-240,288,-728
2704510426,-208,384,344
2704510466,-304,1640,1080
2704510507,-328,1608,640
2704510548,-240,976,-104
2704510589,-224,824,-448
2704510629,-192,280,-856
2704510670,-144,552,-240
2704510711,-336,696,-120
2704510752,-384,1352,616
2704510793,-320,976,424
2704510839,-656,1128,1008
2704510879,-616,1008,992
2704510919,-488,1072,-232
2704510959,-408,520,-464
2704511120,-344,1304,632
2704511166,-360,520,-584
2704511203,-432,536,232
2704511242,-256,392,8
2704511283,-328,624,480
2704511324,-264,704,296
2704511365,-376,1552,512
2704511406,-352,1304,-216
2704511446,-392,1120,-232
