3228458525,-288,512,-464
3228458566,-520,224,-744
3228458607,-624,184,-64
3228458647,-840,-24,-792
3228458688,-808,264,-560
3228458729,-352,136,-960
3228458770,-312,240,-936
3228458811,-400,216,-1016
3228458851,-368,96,-1024
3228458892,-368,184,-896
3228458933,-232,176,-720
3228458974,-312,192,-856
3228459014,-288,56,-848
3228459055,-320,200,-888
3228459096,-336,160,-1072
3228459137,-360,40,-1064
3228459178,-256,280,-768
3228459218,-272,256,-704
3228459259,-296,200,-792
3228459300,-296,152,-832
3228459341,-312,288,-1024
3228459382,-280,208,-976
3228459422,-240,192,-864
3228459463,-240,184,-920
3228459504,-288,200,-888
3228459545,-272,200,-904
3228459586,-288,184,-912
3228459627,-272,192,-888
3228459667,-264,128,-1000
3228459708,-216,176,-792
3228459749,-312,88,-1032
3228459790,-256,128,-960
3228459831,-336,56,-808
3228459872,-360,104,-816
3228459913,-360,80,-904
3228459954,-328,96,-848
3228459995,-272,80,-976
3228460035,-264,24,-960
3228460076,-408,80,-1256
3228460117,-496,128,-968
3228460158,-504,144,-640
3228460199,-624,96,-528
3228460240,-616,232,-568
3228460280,-536,224,-928
3228460321,-288,120,-704
3228460362,-144,88,-648
3228460403,-96,152,-712
3228460443,-104,184,-832
3228460484,-136,232,-1000
3228460525,-160,304,-872
3228460566,-200,336,-1088
3228460606,-224,400,-984
3228460646,-208,512,-960
3228460686,-184,552,-896
3228460851,-152,600,-776
3228460892,-152,592,-840
3228460933,-208,584,-832
3228460974,-264,568,-888
3228461015,-304,512,-896
3228461055,-248,480,-832
3228461096,-264,512,-776
3228461137,-240,608,-752
3228461178,-256,704,-744
3228461218,-208,888,-672
3228461259,-168,1032,-616
3228461300,-64,1288,-432
3228461341,88,1280,-592
3228461382,192,1072,-496
3228461422,312,824,-536
3228461463,288,648,-552
3228461504,352,384,-512
3228461545,344,336,-552
3228461586,344,344,-568
3228461626,344,312,-488
3228461667,256,504,-320
3228461708,232,720,-216
3228461749,24,400,-896
3228461790,208,824,-128
3228461831,352,1056,152
3228461872,456,1184,120
3228461913,488,1200,256
3228461954,456,1216,272
3228461994,296,944,-632
3228462035,152,712,-640
3228462076,-88,-696,-1160
3228462117,-40,-472,-400
3228462158,200,208,-512
3228462198,472,456,-736
3228462239,488,808,-728
3228462280,608,656,-536
3228462321,544,880,-816
3228462362,424,1096,-352
3228462402,352,992,-392
3228462443,360,896,-688
3228462484,360,1064,-280
3228462525,296,1256,80
3228462566,304,840,-192
3228462606,384,808,-96
3228462647,424,912,96
3228462688,432,976,424
3228462729,432,1120,400
3228462769,296,1072,352
3228462810,272,1112,496
3228462851,288,1120,184
3228462892,520,1248,-96
3228462933,520,1448,184
3228462973,336,1392,0
3228463014,240,832,-440
3228463136,80,696,-208
3228463177,120,496,-888
3228463218,104,344,-1024
3228463259,336,-48,-808
3228463300,368,-320,-1136
3228463340,376,-192,-1088
3228463585,432,320,-664
3228463626,320,320,-888
3228463667,232,256,-1216
3228463708,264,288,-1216
3228463748,352,416,-1120
3228463789,376,456,-1048
3228463831,376,464,-848
3228463872,336,216,-536
3228463913,224,56,-656
3228463953,168,-16,-808
3228463994,192,56,-904
3228464035,288,-32,-880
3228464076,336,-16,-952
3228464117,360,-104,-896
3228464157,296,-88,-1168
3228464198,312,-16,-872
3228464239,336,24,-872
3228464280,296,0,-976
3228464321,312,56,-888
3228464361,384,16,-736
3228464402,328,-216,-376
3228464443,488,-304,-320
3228464484,424,-64,-808
3228464525,256,256,-1400
3228464565,240,528,-752
3228464606,288,488,-768
3228464647,224,536,-600
3228464688,192,568,-472
3228464729,120,792,-552
3228464769,-24,1208,-648
3228464810,-96,936,-976
3228464851,-128,712,-600
3228464892,200,792,-128
3228464933,472,776,-416
3228464973,304,1120,288
3228465014,248,1232,536
3228465055,120,1280,584
3228465096,16,896,-736
3228465137,32,912,-224
3228465177,144,1024,-56
3228465218,248,1016,16
3228465259,264,1008,-144
3228465300,208,1064,-24
3228465341,176,1040,72
3228465381,232,1152,432
3228465422,264,1392,536
3228465463,200,1136,800
3228465504,8,880,-552
3228465545,-8,288,-1240
3228465585,64,-88,-632
3228465626,216,-168,-672
3228465667,232,-64,-784
3228465708,336,200,-408
