"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1169.6","16.0","-1024.0","3","1","2","NaN","NaN","NaN","1153.6","2193.6","1040.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1169.6","16.0","-1024.0","3","1","2","NaN","NaN","NaN","1153.6","2193.6","1040.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1169.6","16.0","-1024.0","3","1","2","NaN","NaN","NaN","1153.6","2193.6","1040.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","19","2836.8","-544.0","-2230.4","7","5","5","NaN","NaN","NaN","3380.8","5067.2","1686.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1667.2","-560.0","-1206.4","3","3","2","NaN","NaN","NaN","2227.2","2873.6","646.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1667.2","-560.0","-1206.4","3","3","2","NaN","NaN","NaN","2227.2","2873.6","646.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1667.2","-560.0","-1206.4","3","3","2","NaN","NaN","NaN","2227.2","2873.6","646.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","3128.0","-808.0","-2862.4","5","7","6","NaN","NaN","NaN","3936.0","5990.4","2054.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1460.8","-248.0","-1656.0","2","3","3","NaN","NaN","NaN","1708.8","3116.8","1408.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1460.8","-248.0","-1656.0","2","3","3","NaN","NaN","NaN","1708.8","3116.8","1408.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1460.8","-248.0","-1656.0","2","3","3","NaN","NaN","NaN","1708.8","3116.8","1408.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","16","2110.4","-283.2","-2444.8","4","4","5","NaN","NaN","NaN","2393.6","4555.2","2161.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","649.6","-35.2","-788.8","1","0","2","NaN","NaN","NaN","684.8","1438.4","753.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","649.6","-35.2","-788.8","1","0","2","NaN","NaN","NaN","684.8","1438.4","753.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","649.6","-35.2","-788.8","1","0","2","NaN","NaN","NaN","684.8","1438.4","753.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","17","2464.0","-323.2","-2352.0","5","5","6","NaN","NaN","NaN","2787.2","4816.0","2028.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1814.4","-288.0","-1563.2","4","4","3","NaN","NaN","NaN","2102.4","3377.6","1275.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1814.4","-288.0","-1563.2","4","4","3","NaN","NaN","NaN","2102.4","3377.6","1275.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1814.4","-288.0","-1563.2","4","4","3","NaN","NaN","NaN","2102.4","3377.6","1275.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","24","3513.6","305.6","-2870.4","9","9","7","NaN","NaN","NaN","3208.0","6384.0","3176.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1699.2","593.6","-1307.2","4","4","3","NaN","NaN","NaN","1105.6","3006.4","1900.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1699.2","593.6","-1307.2","4","4","3","NaN","NaN","NaN","1105.6","3006.4","1900.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1699.2","593.6","-1307.2","4","4","3","NaN","NaN","NaN","1105.6","3006.4","1900.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","2934.4","771.2","-2867.2","7","8","7","NaN","NaN","NaN","2163.2","5801.6","3638.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1235.2","177.6","-1560.0","3","3","3","NaN","NaN","NaN","1057.6","2795.2","1737.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1235.2","177.6","-1560.0","3","3","3","NaN","NaN","NaN","1057.6","2795.2","1737.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1235.2","177.6","-1560.0","3","3","3","NaN","NaN","NaN","1057.6","2795.2","1737.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","2920.0","-172.8","-3052.8","8","7","7","NaN","NaN","NaN","3092.8","5972.8","2880.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1684.8","-350.4","-1492.8","4","3","3","NaN","NaN","NaN","2035.2","3177.6","1142.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1684.8","-350.4","-1492.8","4","3","3","NaN","NaN","NaN","2035.2","3177.6","1142.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1684.8","-350.4","-1492.8","4","3","3","NaN","NaN","NaN","2035.2","3177.6","1142.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","21","3040.0","-81.6","-2635.2","8","6","7","NaN","NaN","NaN","3121.6","5675.2","2553.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","9","1355.2","268.8","-1142.4","3","3","3","NaN","NaN","NaN","1086.4","2497.6","1411.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","9","1355.2","268.8","-1142.4","3","3","3","NaN","NaN","NaN","1086.4","2497.6","1411.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","9","1355.2","268.8","-1142.4","3","3","3","NaN","NaN","NaN","1086.4","2497.6","1411.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","9","1355.2","268.8","-1142.4","3","3","3","NaN","NaN","NaN","1086.4","2497.6","1411.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","6","932.8","-11.2","-747.2","1","1","2","NaN","NaN","NaN","944.0","1680.0","736.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","18","2523.2","539.2","-2478.4","6","7","6","NaN","NaN","NaN","1984.0","5001.6","3017.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1590.4","550.4","-1731.2","4","5","3","NaN","NaN","NaN","1040.0","3321.6","2281.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1590.4","550.4","-1731.2","4","5","3","NaN","NaN","NaN","1040.0","3321.6","2281.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1590.4","550.4","-1731.2","4","5","3","NaN","NaN","NaN","1040.0","3321.6","2281.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","23","3064.0","32.0","-3288.0","6","8","7","NaN","NaN","NaN","3032.0","6352.0","3320.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1473.6","-518.4","-1556.8","2","3","3","NaN","NaN","NaN","1992.0","3030.4","1038.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1473.6","-518.4","-1556.8","2","3","3","NaN","NaN","NaN","1992.0","3030.4","1038.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1473.6","-518.4","-1556.8","2","3","3","NaN","NaN","NaN","1992.0","3030.4","1038.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","21","2928.0","-505.6","-2880.0","6","7","7","NaN","NaN","NaN","3433.6","5808.0","2374.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1454.4","12.8","-1323.2","3","3","3","NaN","NaN","NaN","1441.6","2777.6","1336.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1454.4","12.8","-1323.2","3","3","3","NaN","NaN","NaN","1441.6","2777.6","1336.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1454.4","12.8","-1323.2","3","3","3","NaN","NaN","NaN","1441.6","2777.6","1336.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","3081.6","227.2","-2985.6","7","7","8","NaN","NaN","NaN","2854.4","6067.2","3212.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1627.2","214.4","-1662.4","4","4","5","NaN","NaN","NaN","1412.8","3289.6","1876.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1627.2","214.4","-1662.4","4","4","5","NaN","NaN","NaN","1412.8","3289.6","1876.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1627.2","214.4","-1662.4","4","4","5","NaN","NaN","NaN","1412.8","3289.6","1876.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","17","2406.4","372.8","-2259.2","6","7","7","NaN","NaN","NaN","2033.6","4665.6","2632.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","779.2","158.4","-596.8","2","2","2","NaN","NaN","NaN","620.8","1376.0","755.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","779.2","158.4","-596.8","2","2","2","NaN","NaN","NaN","620.8","1376.0","755.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","779.2","158.4","-596.8","2","2","2","NaN","NaN","NaN","620.8","1376.0","755.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","13","1531.2","470.4","-1219.2","4","4","3","NaN","NaN","NaN","1060.8","2750.4","1689.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","752.0","312.0","-622.4","2","1","1","NaN","NaN","NaN","440.0","1374.4","934.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","752.0","312.0","-622.4","2","1","1","NaN","NaN","NaN","440.0","1374.4","934.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","752.0","312.0","-622.4","2","1","1","NaN","NaN","NaN","440.0","1374.4","934.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","19","-192.0","2328.0","424.0","2","5","4","NaN","NaN","NaN","-2520.0","-616.0","1904.0","Brush Teeth","Inactive"
"data\Raw Data Cleaned\Austin brush 2.csv","1.069000005722046","14","-601.7142857142857","792.5714285714286","392.0","4","2","1","-163.12135158976963","225.47182272695497","121.00192436916055","-1394.2857142857142","-993.7142857142857","400.57142857142856","Inactive","Raise Hand"
