"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9099998474121094","22","449.6","359.04","-294.08","6","6","6","780.5806045927374","-495.7369196047189","-522.54620510142","90.56","743.68","653.12","Raise Hand","Raise Hand"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9110000133514404","22","715.52","144.96","-462.72","8","8","8","-52.88629022002416","-226.47210795170741","-463.9740726508909","570.56","1178.24","607.68","Raise Hand","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.6630001068115234","17","567.36","135.04","-355.2","6","5","5","-295.98086254882935","-8.248025570883328","-303.741819999045","432.32","922.56","490.24","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9099998474121094","16","508.48","35.2","-378.24","5","5","4","-109.50159642599131","82.7037586087718","115.1121637789152","473.28","886.72","413.44","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.8259999752044678","19","576.96","59.84","-441.6","7","6","7","-170.27784078227054","26.738908409362416","-174.02654647189598","517.12","1018.56","501.44","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9110000133514404","21","648.96","185.92","-447.68","8","6","8","-141.61043785871874","-114.36513017354238","-502.44516541996256","463.04","1096.64","633.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9019999504089355","24","749.12","158.72","-523.84","8","9","8","-145.0690825671639","-71.40531313706829","-537.4849887528893","590.4","1272.96","682.56","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9099998474121094","24","766.72","205.76","-471.36","9","10","9","84.3634155162332","66.65249725025733","-41.60330537160695","560.96","1238.08","677.12","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","17","577.6","152.96","-271.04","6","6","6","-103.12558858322558","-255.84308546414405","-717.1851829638633","424.64","848.64","424.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","17","584.0","-2.88","-281.28","6","5","6","-156.45234954526686","0.6616732275094819","-697.9176515155609","586.88","865.28","278.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9079999923706055","21","690.56","74.56","-411.52","8","7","8","-29.612724660206812","219.99754283466982","551.9906337917862","616.0","1102.08","486.08","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","20","642.88","213.44","-341.76","7","6","7","301.8338805903415","215.21952372842705","712.7401250616934","429.44","984.64","555.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9089999198913574","23","768.0","275.52","-320.64","8","8","8","18.579786125779346","-70.4681193150986","-13.179095430934302","492.48","1088.64","596.16","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.74399995803833","21","717.12","203.52","-365.44","8","9","7","-120.19540341031423","-167.87162264705356","-192.08180502422084","513.6","1082.56","568.96","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","16","552.64","68.16","-310.72","7","6","5","-141.55173407044273","33.64535131086663","134.46427799012886","484.48","863.36","378.88","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.499000072479248","18","629.12","100.8","-319.68","6","5","6","-55.56061526936846","172.93337801442934","-48.107785705315855","528.32","948.8","420.48","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","23","801.92","140.16","-409.92","8","7","8","-60.263144043313744","-32.763723856863265","-305.13238944539495","661.76","1211.84","550.08","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9110000133514404","23","812.48","79.04","-404.8","9","9","9","74.06326231313598","27.853810214074098","4.225311057971933","733.44","1217.28","483.84","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9110000133514404","20","710.08","58.88","-335.04","8","7","8","54.05120801109792","421.2727668573718","184.6824485752336","651.2","1045.12","393.92","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.4119999408721924","15","515.84","74.56","-246.08","4","5","6","-27.052901384329395","407.6226665130436","92.65190974813913","441.28","761.92","320.64","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9920001029968262","16","527.04","220.48","-224.0","5","6","5","22.71446521508057","130.44978975984424","-156.27982670545455","306.56","751.04","444.48","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","22","703.04","211.2","-399.68","7","6","7","69.9911337977371","-203.33791885943077","-117.27173922929475","491.84","1102.72","610.88","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","24","733.76","120.64","-581.12","9","8","9","-154.95876780842022","-151.6579964943085","-145.42104772788107","613.12","1314.88","701.76","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","24","718.08","135.68","-602.24","9","8","9","70.24341607927589","160.443357693294","162.98680746623558","582.4","1320.32","737.92","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","1.9100000858306885","22","657.28","84.48","-583.68","6","7","6","-61.25206046856282","-334.23589316709314","-161.4630901535135","572.8","1240.96","668.16","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 2.csv","0.996999979019165","11","327.68","34.56","-307.2","3","3","3","-51.52014969143111","319.7927720706449","-11.359932465887615","293.12","634.88","341.76","Brush Teeth","Brush Teeth"
