"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ "
"data/Raw Data Cleaned/Austin brush 1.csv","2.0769999027252197","55.74074074074074","-10.62962962962963","-62.48148148148148","9","8","9","16.572172939811814","172.60521569493395","108.39013744533263","66.37037037037037","118.22222222222223","51.851851851851855"
"data/Raw Data Cleaned/Austin brush 1.csv","2.078000068664551","73.65975103734439","10.688796680497925","-64.23236514522821","11","10","10","3.4862349495580247","-15.150309072342642","-192.86086911154143","62.97095435684647","137.8921161825726","74.92116182572614"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0759999752044678","60.24242424242424","-0.8181818181818182","-58.666666666666664","11","12","10","63.045140379576544","-122.30103574281397","-77.49693573179647","61.06060606060606","118.9090909090909","57.84848484848485"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0889999866485596","10.835820895522389","0.0","-9.134328358208956","2","1","2","-240.32099258268303","-434.2479632639941","-496.1932415765634","10.835820895522389","19.970149253731343","9.134328358208956"
"data/Raw Data Cleaned/Austin brush 1.csv","2.065999984741211","54.845360824742265","4.426116838487973","-55.25773195876289","11","13","12","-122.93076899420343","-138.5574821926634","-230.1245458256728","50.419243986254294","110.10309278350516","59.68384879725086"
"data/Raw Data Cleaned/Austin brush 1.csv","2.077000141143799","50.92993630573248","1.3503184713375795","-50.140127388535035","10","12","9","23.13130790588372","68.24688175981514","88.41810636820566","49.5796178343949","101.07006369426752","51.49044585987261"
"data/Raw Data Cleaned/Austin brush 1.csv","2.0789999961853027","29.048780487804876","2.1951219512195124","-25.853658536585368","6","7","5","-400.54830222781925","604.4910096365418","469.1696452937094","26.853658536585368","54.90243902439025","28.048780487804876"
"data/Raw Data Cleaned/Austin brush 1.csv","1.1710000038146973","-13.090909090909092","33.94721407624633","16.609970674486803","8","6","4","-256.4211439371009","-179.20376126885716","249.81467987053756","-47.038123167155426","-29.700879765395893","17.33724340175953"
"data/Raw Data Cleaned/Austin brush 2.csv","2.06499981880188","-169.6","706.88","135.36","10","12","11","696.7833896506721","-213.21032324254315","-179.43692976263605","-876.48","-304.96","571.52"
"data/Raw Data Cleaned/Austin brush 2.csv","2.077000141143799","392.6666666666667","86.0","-255.33333333333334","9","11","10","148.06946171565824","137.2335037011277","-169.25875968556235","306.6666666666667","648.0","341.3333333333333"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0759999752044678","203.8153846153846","9.107692307692307","-154.95384615384614","7","7","8","54.09779263280046","144.42468963058627","383.499491726613","194.7076923076923","358.7692307692308","164.06153846153848"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0769999027252197","196.41379310344828","51.40229885057471","-133.70114942528735","12","10","9","-102.0338946112133","-179.35311634361415","-292.64558542351034","145.01149425287358","330.11494252873564","185.10344827586206"
"data/Raw Data Cleaned/Austin brush 2.csv","2.491000175476074","169.45454545454547","49.30909090909091","-96.65454545454546","13","12","8","158.39630652785164","21.681764861724147","743.6387465959837","120.14545454545454","266.1090909090909","145.96363636363637"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0759999752044678","138.96969696969697","8.424242424242424","-83.27272727272727","10","8","11","57.272043594214274","424.36544136718345","89.77572292566107","130.54545454545453","222.24242424242425","91.6969696969697"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0769999027252197","127.43589743589743","45.48717948717949","-52.87179487179487","10","11","10","51.20025966948428","86.51787912085328","-131.93469237782762","81.94871794871794","180.30769230769232","98.35897435897436"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0759999752044678","85.41040462427746","11.83815028901734","-45.179190751445084","8","7","7","58.78038588153409","116.2024237132728","399.5752425071933","73.57225433526011","130.58959537572255","57.017341040462426"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0759999752044678","105.78680203045685","15.878172588832488","-57.055837563451774","12","12","10","78.33018282163428","-57.90619551228804","286.9249113770969","89.90862944162437","162.84263959390864","72.93401015228426"
"data/Raw Data Cleaned/Austin brush 2.csv","2.077000141143799","85.39449541284404","8.660550458715596","-39.30275229357798","10","10","11","15.788741457234602","-18.532013500087306","18.075831083920367","76.73394495412845","124.69724770642202","47.96330275229358"
"data/Raw Data Cleaned/Austin brush 2.csv","2.0809998512268066","56.30769230769231","23.931623931623932","-23.897435897435898","8","10","6","-91.75812408224411","-422.4013895875704","-190.125477683679","32.376068376068375","80.2051282051282","47.82905982905983"
"data/Raw Data Cleaned/Austin brush 2.csv","2.071000099182129","72.52509652509653","12.50965250965251","-61.31274131274131","15","13","13","-109.90676467038202","-62.039371626347396","-214.58693189507173","60.01544401544402","133.83783783783784","73.82239382239382"
"data/Raw Data Cleaned/Austin brush 2.csv","1.74399995803833","51.02158273381295","5.726618705035971","-45.064748201438846","9","7","9","-12.296623459472478","124.95093048974553","-39.03649573831165","45.29496402877698","96.0863309352518","50.79136690647482"
"data/Raw Data Cleaned/Austin chin 1.csv","2.059000015258789","-182.2608695652174","562.4347826086956","19.130434782608695","7","10","14","914.2610044861017","13.140762052204172","-197.07393517722733","-744.695652173913","-201.3913043478261","543.304347826087"
"data/Raw Data Cleaned/Austin chin 1.csv","2.078000068664551","312.8695652173913","239.82608695652175","-86.43478260869566","13","10","13","-882.58231031859","65.2272267579765","194.25405714891778","73.04347826086956","399.30434782608694","326.2608695652174"
"data/Raw Data Cleaned/Austin chin 1.csv","0.41499996185302734","-129.5686274509804","42.8235294117647","12.392156862745098","1","2","1","2190.4891685241973","-484.36899245485813","48.68212175035903","-172.3921568627451","-141.9607843137255","30.431372549019606"
"data/Raw Data Cleaned/Austin chin 2.csv","2.067000150680542","-363.27272727272725","398.54545454545456","-19.272727272727273","8","9","11","498.5714232121374","93.327291529128","-19.798942471410925","-761.8181818181819","-344.0","417.8181818181818"
