"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1548.0","430.0","-1038.0","3","3","2","245.89413359670291","-132.75022187464023","1063.4601559112696","1118.0","2586.0","1468.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1368.0","218.0","-1064.0","2","2","2","338.5614376319567","37.54683934086237","578.0532205659233","1150.0","2432.0","1282.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1556.0","142.0","-1214.0","3","2","2","102.32847257084359","-437.48460834920195","824.2415185054645","1414.0","2770.0","1356.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1594.0","208.0","-1116.0","2","1","2","-283.2139530382014","-520.1008424082829","-1048.3931201670396","1386.0","2710.0","1324.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1488.0","14.0","-1340.0","3","2","2","-289.11608407534095","-598.6206411017181","648.0222619913694","1474.0","2828.0","1354.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1562.0","18.0","-1130.0","3","2","2","482.3045810809713","-368.403171557211","1124.7451779602309","1544.0","2692.0","1148.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1548.0","-50.0","-1190.0","3","2","3","-589.6231083351531","-1039.0990462846544","-1197.6312362088167","1598.0","2738.0","1140.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1474.0","-224.0","-1266.0","3","2","2","-322.565682066966","-497.50508509510473","-610.9875771998329","1698.0","2740.0","1042.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","702.0","-32.0","-758.0","0","0","1","-1357.64218548959","-430.2338485848711","-1772.1426199728985","734.0","1460.0","726.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","822.0","-6.0","-890.0","1","1","1","-1512.0597066280393","-791.8120505739575","53.61162405069649","828.0","1712.0","884.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","798.0","98.0","-958.0","1","1","2","752.9955374201272","413.0045686005989","2463.2448623998093","700.0","1756.0","1056.0","Brush Teeth","Brush Teeth"
