"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Standard Deviation X"," Standard Deviation Y"," Standard Deviation Z"," Zero-Crossings X"," Zero-Crossings Y"," Zero-Crossings Z"," Correlation XY"," Correlation XZ"," Correlation YZ"," Energy X"," Energy Y"," Energy Z"," Entropy X"," Entropy Y"," Entropy Z"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","1.3289999961853027","17","717.3333333333334","80.44444444444444","-553.3333333333334","6","6","5","-171.88263439712279","-309.44176667348233","-137.67126607309183","636.8888888888889","1270.6666666666667","633.7777777777778","17456.719723183392","82732.73356401383","136768.22145328717","0","7","4","89543.5294117647","-405669.64705882355","16030.117647058823","1.0103808E7","1529792.0000000005","8160447.999999999","2.857556594269947","8.16098260022327","5.479019683432524","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9099998474121094","20","826.6666666666666","100.0","-692.4444444444445","8","7","8","-62.4932490998558","-363.3868394570028","-4.6397352699069945","726.6666666666666","1519.111111111111","792.4444444444445","22374.4","72152.8","135180.16000000003","0","9","4","91433.6","-424188.8","4355.2","1.1518207999999994E7","1605056.0000000007","1.0471168000000006E7","3.2866653013817664","9.038947928972222","6.019931636471577","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.8250000476837158","19","784.0","32.888888888888886","-672.4444444444445","7","6","8","-297.25731158086353","-758.4822395768874","-285.79817490628653","751.1111111111111","1456.4444444444443","705.3333333333334","25298.614958448747","59950.44875346259","71310.891966759","0","9","0","47589.05263157895","-443893.8947368421","10428.631578947368","1.0962176E7","1157504.0000000016","9065791.999999998","3.237582705752324","8.772063124115034","5.10671162627054","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9120001792907715","18","728.8888888888889","19.11111111111111","-664.0","6","5","6","-353.41877261340073","-154.7221462183018","-364.6950782104987","709.7777777777778","1392.888888888889","683.1111111111111","26338.76543209877","51478.32098765431","70442.66666666667","0","7","0","32913.77777777778","-456284.44444444444","15324.444444444445","1.0037119999999998E7","933183.9999999988","9204095.999999998","3.4841238317380836","7.614913015875198","4.8851139580700975","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9089999198913574","21","848.4444444444445","184.44444444444446","-734.2222222222222","7","6","7","120.10838696616602","241.45576106941843","201.61527102767545","664.0","1582.6666666666667","918.6666666666666","25770.086167800455","80956.37188208617","71322.41269841269","0","6","0","137124.57142857142","-431107.04761904763","-55814.09523809524","1.1647552000000002E7","2224960.000000001","9815039.999999998","3.5372128168116843","8.843879984729867","5.198466323411604","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9119999408721924","22","883.1111111111111","183.11111111111111","-768.0","8","8","7","-134.71987993024544","80.3585569421103","-172.28330810297953","700.0","1651.111111111111","951.1111111111111","21296.79338842975","79820.69421487606","72306.77685950411","0","8","0","130461.09090909091","-426516.36363636365","-46196.36363636364","1.1954112000000002E7","2249856.000000002","1.027724799999999E7","3.3073974828750776","8.981052742217804","5.439109695065571","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.746000051498413","22","885.7777777777778","214.22222222222223","-767.5555555555555","9","8","8","25.185683689246595","186.99559212962524","169.56547081320338","671.5555555555555","1653.3333333333333","981.7777777777778","17400.198347107435","76712.19834710745","69828.36363636363","0","8","0","147045.81818181818","-432293.8181818182","-63287.27272727273","1.1937856000000004E7","2363520.000000002","1.0212672E7","3.1430079654078993","8.599408758659314","4.898844061731164","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.744999885559082","20","793.3333333333334","230.66666666666666","-712.8888888888889","7","7","8","-190.41957274370262","-533.4241975596775","-124.08779953758767","562.6666666666666","1506.2222222222222","943.5555555555555","15839.2","70127.84000000001","66813.44000000002","0","9","0","172934.4","-434022.4","-83504.0","1.0512704E7","2264512.0000000005","9569280.0","2.7272631863469465","7.9621215986707785","4.180619806722903","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9220001697540283","15","598.6666666666666","94.22222222222223","-564.4444444444445","5","5","6","-39.41254488989822","-162.6022740023499","430.33642609471696","504.44444444444446","1163.111111111111","658.6666666666666","11675.306666666667","48220.72888888889","49285.688888888886","0","10","0","101444.26666666666","-468693.3333333333","-40665.6","7916607.999999999","915072.0000000002","7620992.000000004","2.019627430674495","7.072310695829895","3.1274709743214455","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9110000133514404","14","561.3333333333334","72.44444444444444","-524.4444444444445","4","4","6","-520.6471362940155","-755.5363114049586","-624.2921169750409","488.8888888888889","1085.7777777777778","596.8888888888889","11558.204081632652","37171.26530612245","37608.489795918365","0","6","0","81563.42857142857","-471670.85714285716","-38729.142857142855","7454016.0","641856.0000000005","6891775.999999999","2.2774738741048406","6.014328460713245","2.912811064205881","Brush Teeth","Brush Teeth"
